Date,RON/USD
Jan-09,3.1999
Feb-09,3.348
Mar-09,3.2851
Apr-09,3.1777
May-09,3.0554
Jun-09,3.0035
Jul-09,2.994
Aug-09,2.9576
Sep-09,2.911
Oct-09,2.8904
Nov-09,2.8741
Dec-09,2.8952
Jan-10,2.8998
Feb-10,3.0071
Mar-10,3.0113
Apr-10,3.0758
May-10,3.3207
Jun-10,3.47
Jul-10,3.3388
Aug-10,3.2847
Sep-10,3.2636
Oct-10,3.0788
Nov-10,3.1403
Dec-10,3.2439
Jan-11,3.1918
Feb-11,3.1108
Mar-11,2.9736
Apr-11,2.836
May-11,2.8652
Jun-11,2.9134
Jul-11,2.97
Aug-11,2.9612
Sep-11,3.1091
Oct-11,3.1539
Nov-11,3.212
Dec-11,3.2863
Jan-12,3.365
Feb-12,3.2879
Mar-12,3.306
Apr-12,3.3243
May-12,3.4703
Jun-12,3.557
Jul-12,3.6993
Aug-12,3.6407
Sep-12,3.5016
Oct-12,3.5134
Nov-12,3.5289
Dec-12,3.424
Jan-13,3.2949
Feb-13,3.2816
Mar-13,3.3879
Apr-13,3.3666
May-13,3.343
Jun-13,3.3923
Jul-13,3.3829
Aug-13,3.3306
Sep-13,3.3437
Oct-13,3.2599
Nov-13,3.2935
Dec-13,3.2581
Jan-14,3.3206
Feb-14,3.2874
Mar-14,3.2508
Apr-14,3.2299
May-14,3.2205
Jun-14,3.2339
Jul-14,3.2558
Aug-14,3.3225
Sep-14,3.416
Oct-14,3.4835
Nov-14,3.5507
Dec-14,3.6185
Jan-15,3.869
Feb-15,3.9017
Mar-15,4.0933
Apr-15,4.0881
May-15,3.9843
Jun-15,3.9803
Jul-15,4.0315
Aug-15,3.9724
Sep-15,3.9382
Oct-15,3.9346
Nov-15,4.1356
Dec-15,4.139
Jan-16,4.1702
Feb-16,4.0395
Mar-16,4.0201
Apr-16,3.9455
May-16,3.9802
Jun-16,4.0257
Jul-16,4.0529
Aug-16,3.9775
Sep-16,3.97
Oct-16,4.0756
Nov-16,4.171
Dec-16,4.282
Jan-17,4.2401
Feb-17,4.2411
Mar-17,4.2563
Apr-17,4.2259
May-17,4.1213
Jun-17,4.0714
Jul-17,3.9704
Aug-17,3.8764
Sep-17,3.8576
Oct-17,3.9035
Nov-17,3.9473
Dec-17,3.9186
Jan-18,3.8121
Feb-18,3.7675
Mar-18,3.7784
Apr-18,3.7912
May-18,3.9239
Jun-18,3.9911
Jul-18,3.981
Aug-18,4.0189
Sep-18,3.9848
Oct-18,4.0609
Nov-18,4.1028
Dec-18,4.0868
Jan-19,4.1179
Feb-19,4.1823
Mar-19,4.2042
Apr-19,4.2296
May-19,4.2551
Jun-19,4.1839
Jul-19,4.2144
Aug-19,4.2511
Sep-19,4.3026
Oct-19,4.3014
Nov-19,4.3139
Dec-19,4.2987
Jan-20,4.3059
Feb-20,4.3843
Mar-20,4.3633
Apr-20,4.4469
May-20,4.4398
Jun-20,4.2965
Jul-20,4.2239
Aug-20,4.0881
Sep-20,4.1199
Oct-20,4.1412
Nov-20,4.1176
Dec-20,4.0005
Jan-21,4.0029
Feb-21,4.0289
Mar-21,4.1064
Apr-21,4.1188
May-21,4.0526
Jun-21,4.0864
Jul-21,4.1652
Aug-21,4.1823
Sep-21,4.2019
Oct-21,4.2662
Nov-21,4.3345
Dec-21,4.3789
Jan-22,4.3681
Feb-22,4.361
Mar-22,4.4909
Apr-22,4.5638
May-22,4.6776
Jun-22,4.6756
Jul-22,4.8507
Aug-22,4.8344
Sep-22,4.9531
Oct-22,5.014
Nov-22,4.8248
Dec-22,4.6477
Jan-23,4.569
Feb-23,4.5795
Mar-23,4.6031
Apr-23,4.5045
May-23,4.5546
Jun-23,4.5713
Jul-23,4.4689
Aug-23,4.5294
Sep-23,4.647
Oct-23,4.7027
Nov-23,4.6035
Dec-23,4.558
Jan-24,4.564
Feb-24,4.6097
Mar-24,4.5735
